player_id,archetype,session_id,table_id,timestamp,round_no,bet_type,bet_amount,outcome,payout,is_win
P00,consistent,P00-D1-S1,T1,2026-06-01 14:00:00,1,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:00:45,2,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:01:30,3,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:02:15,4,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:03:00,5,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:03:45,6,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:04:30,7,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:05:15,8,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:06:00,9,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:06:45,10,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:07:30,11,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:08:15,12,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:09:00,13,Banker,500,Tie,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:09:45,14,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:10:30,15,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:11:15,16,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:12:00,17,Tie,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:12:45,18,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:13:30,19,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:14:15,20,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:15:00,21,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:15:45,22,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:16:30,23,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:17:15,24,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:18:00,25,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:18:45,26,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:19:30,27,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:20:15,28,Player,500,Player,500,True
P00,consistent,P00-D1-S1,T1,2026-06-01 14:21:00,29,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S1,T1,2026-06-01 14:21:45,30,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:00:00,1,Player,500,Tie,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:00:45,2,Player,500,Player,500,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:01:30,3,Player,500,Player,500,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:02:15,4,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:03:00,5,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:03:45,6,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:04:30,7,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:05:15,8,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:06:00,9,Banker,500,Tie,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:06:45,10,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:07:30,11,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:08:15,12,Player,500,Player,500,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:09:00,13,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:09:45,14,Player,500,Tie,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:10:30,15,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:11:15,16,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:12:00,17,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:12:45,18,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:13:30,19,Player,500,Tie,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:14:15,20,Player,500,Tie,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:15:00,21,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:15:45,22,Player,500,Player,500,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:16:30,23,Player,500,Banker,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:17:15,24,Banker,500,Banker,475.0,True
P00,consistent,P00-D1-S2,T1,2026-06-01 20:18:00,25,Tie,500,Banker,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:18:45,26,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:19:30,27,Banker,500,Player,0.0,False
P00,consistent,P00-D1-S2,T1,2026-06-01 20:20:15,28,Player,500,Tie,0.0,False
